repo_name,repo_url,stars,contributors,commits,update_date,forks
tubearchivist,https://github.com/tubearchivist/tubearchivist,3417,43,1717,2024-01-27 03:26:23,168
RedTeam_toolkit,https://github.com/merlinepedra/RedTeam_toolkit,2,5,266,2022-05-18 22:22:15,0
skku-coding-platform,https://github.com/skkuding/skku-coding-platform,35,21,943,2023-01-19 15:15:36,3
openwisp-monitoring,https://github.com/openwisp/openwisp-monitoring,130,17,531,2024-01-18 20:26:14,87
MediLeaf_backend,https://github.com/surajkarki66/MediLeaf_backend,2,2,182,2024-01-11 15:47:50,0
OpenContracts,https://github.com/JSv4/OpenContracts,32,2,169,2023-09-13 04:47:47,5
web,https://github.com/TK-IT/web,2,11,1779,2022-11-24 12:05:10,2
ais,https://github.com/armada-ths/ais,16,48,3663,2024-01-05 09:13:17,6
VolWeb,https://github.com/k1nd0ne/VolWeb,101,2,174,2023-08-27 12:40:36,11
qatrackplus,https://github.com/qatrackplus/qatrackplus,41,10,3481,2023-10-23 21:17:37,18
sikteeri,https://github.com/kapsiry/sikteeri,31,13,1364,2022-10-10 21:03:55,20
FuzzManager,https://github.com/MozillaSecurity/FuzzManager,176,14,1656,2024-01-09 15:35:24,49
cuede,https://github.com/cuede/cuede,5,6,684,2020-05-22 19:49:24,4
model_garden,https://github.com/epam/model_garden,5,7,2587,2021-11-29 20:36:47,4
Geotrek-admin,https://github.com/GeotrekCE/Geotrek-admin,107,37,13702,2024-01-29 15:02:12,74
racing,https://github.com/b4mad/racing,15,13,1219,2024-01-26 12:34:30,12
pah-fm,https://github.com/CodeForPoznan/pah-fm,8,29,314,2023-07-12 18:52:38,41
apiv2,https://github.com/breatheco-de/apiv2,5,16,6674,2024-01-29 23:51:23,33
search-portal,https://github.com/surfedushare/search-portal,2,13,6164,2023-06-06 13:37:01,1
hue,https://github.com/cloudera/hue,981,230,20803,2024-01-23 11:27:50,340
frikanalen,https://github.com/Frikanalen/frikanalen,26,8,1912,2023-10-28 18:00:40,12
kafka-ml,https://github.com/ertis-research/kafka-ml,125,6,264,2023-11-08 15:00:28,19
sympy_gamma,https://github.com/sympy/sympy_gamma,637,11,858,2021-04-07 07:46:08,110
lego,https://github.com/webkom/lego,52,56,5068,2024-01-26 04:51:41,19
DiscoFlix,https://github.com/nickheyer/DiscoFlix,41,2,268,2024-01-15 22:46:18,3
bluebottle,https://github.com/onepercentclub/bluebottle,12,22,18406,2024-01-12 10:21:18,18
Tribal-Wars-Planer,https://github.com/rafsaf/Tribal-Wars-Planer,5,2,1277,2024-01-16 20:18:46,0
ds-wagtail,https://github.com/nationalarchives/ds-wagtail,8,27,2365,2024-01-16 15:34:54,4
AssurancePlatform,https://github.com/alan-turing-institute/AssurancePlatform,10,10,957,2023-11-09 09:59:32,4
ResonantGeoData,https://github.com/ResonantGeoData/ResonantGeoData,55,17,816,2022-06-17 21:20:06,8
kitsune,https://github.com/mozilla/kitsune,1206,117,10009,2024-01-25 18:22:35,802
prophecies,https://github.com/ICIJ/prophecies,13,7,1515,2024-01-29 15:54:22,1
caim-app,https://github.com/caim-org/caim-app,4,11,468,2023-11-06 17:35:03,13
data-hub-api,https://github.com/uktrade/data-hub-api,12,73,10819,2024-01-30 11:10:17,12
squest,https://github.com/HewlettPackard/squest,242,5,1036,2024-01-09 09:28:12,41
blueking-paas,https://github.com/TencentBlueKing/blueking-paas,133,12,1040,2024-01-29 08:38:24,38
grai-core,https://github.com/grai-io/grai-core,239,13,947,2024-01-19 20:44:25,20
temat,https://github.com/pablolmedorado/temat,13,2,430,2022-09-04 16:56:09,0
API-1Semestre,https://github.com/Grupo-4-Fatech/API-1Semestre,2,8,311,2021-12-29 01:24:33,2
vas3k.club,https://github.com/vas3k/vas3k.club,682,108,1283,2024-01-17 14:16:16,222
dear-petition,https://github.com/deardurham/dear-petition,10,11,970,2024-01-23 23:14:07,15
modoboa,https://github.com/modoboa/modoboa,2717,84,4698,2024-01-11 16:40:57,368
SeniorityGo,https://github.com/jmmunoza/SeniorityGo,2,4,198,2023-06-21 02:43:55,0
LPOJ,https://github.com/Linzecong/LPOJ,214,4,377,2022-01-05 15:05:55,67
CTOs,https://github.com/Tako64tako/CTOs,2,6,190,2022-11-14 06:15:37,0
cashflow,https://github.com/datasektionen/cashflow,4,20,561,2024-01-25 21:19:28,12
Alsong-Dlsong,https://github.com/romantiveloper/Alsong-Dlsong,4,6,218,2023-08-24 04:46:35,0
researchGroups,https://github.com/CrunchyBaguette/researchGroups,3,4,395,2022-12-20 19:26:55,0
